num	lib_trigram	lib_score	my_trigram	my_score	diff
1	new york reuters	47.96375892273304	new york reuters	47.96375892273304	0.0
2	quote profile research	33.0454103237056	quote profile research	33.0454103237056	0.0
3	inc. < href=	29.529564465510084	inc. < href=	29.529564465510084	0.0
4	york reuters u.s	23.42720171656114	york reuters u.s	23.42720171656114	0.0
5	boston red sox	22.825386031137942	boston red sox	22.825386031137942	0.0
6	corp. < href=	22.248519312043783	corp. < href=	22.248519312043783	0.0
7	world 's largest	21.95141217395454	world 's largest	21.95141217395454	0.0
8	canadian press canadian	21.886046186890844	canadian press canadian	21.886046186890844	0.0
9	press canadian press	21.886044794779625	press canadian press	21.886044794779625	0.0
10	serif arial helvetica	20.95232648588712	serif arial helvetica	20.95232648588712	0.0
11	arial helvetica size=	20.95232647057157	arial helvetica size=	20.95232647057157	0.0
12	sans serif arial	20.952326459286425	sans serif arial	20.952326459286425	0.0
13	face= verdana ms	20.95232637867826	face= verdana ms	20.95232637867826	0.0
14	ms sans serif	20.952326344018587	verdana ms sans	20.952326344018587	0.0
15	verdana ms sans	20.952326344018587	ms sans serif	20.952326344018587	0.0
16	2 color= #666666	20.95232371054801	2 color= #666666	20.95232371054801	0.0
17	helvetica size= 2	20.952323575115276	helvetica size= 2	20.952323575115276	0.0
18	size= 2 color=	20.952323575115276	size= 2 color=	20.952323575115276	0.0
19	color= #666666 ><b>	20.92844918298978	color= #666666 ><b>	20.92844918298978	0.0
20	new york yankees	20.687361271427225	new york yankees	20.687361271427225	0.0
21	george w bush	20.174234068460553	george w bush	20.174234068460553	0.0
22	prime minister ariel	20.02496250098587	prime minister ariel	20.02496250098587	0.0
23	securities exchange commission	19.1833219281683	securities exchange commission	19.1833219281683	0.0
24	reuters reuters u.s	18.829132005162762	reuters reuters u.s	18.829132005162762	0.0
25	minister ariel sharon	18.708280440820648	minister ariel sharon	18.708280440820648	0.0
26	third quarter profit	18.02744870183613	third quarter profit	18.02744870183613	0.0
27	president george w	17.972187127423364	president george w	17.972187127423364	0.0
28	reuters u.s stocks	17.830213731735455	reuters u.s stocks	17.830213731735455	0.0
29	font face= verdana	17.804493507419487	font face= verdana	17.804493507419487	0.0
30	prime minister tony	17.663484394933263	prime minister tony	17.663484394933263	0.0
