num	lib_trigram	lib_score	my_trigram	my_score	diff
1	new york reuters	47.9638595984223	new york reuters	47.9638595984223	0.0
2	quote profile research	33.04541016690836	quote profile research	33.04541016690836	0.0
3	inc. < href=	29.52956611594919	inc. < href=	29.52956611594919	0.0
4	york reuters u.s	23.427273416079565	york reuters u.s	23.427273416079565	0.0
5	boston red sox	22.825386807088066	boston red sox	22.825386807088066	0.0
6	corp. < href=	22.24852085119945	corp. < href=	22.24852085119945	0.0
7	world 's largest	21.95140252160176	world 's largest	21.95140252160176	0.0
8	canadian press canadian	21.88604618859873	canadian press canadian	21.88604618859873	0.0
9	press canadian press	21.886044306813826	press canadian press	21.886044306813826	0.0
10	serif arial helvetica	20.952326493039664	serif arial helvetica	20.952326493039664	0.0
11	arial helvetica size=	20.952326478033676	arial helvetica size=	20.952326478033676	0.0
12	sans serif arial	20.952326466976633	sans serif arial	20.952326466976633	0.0
13	face= verdana ms	20.952326388787537	face= verdana ms	20.952326388787537	0.0
14	ms sans serif	20.952326354887784	verdana ms sans	20.952326354887784	0.0
15	verdana ms sans	20.952326354887784	ms sans serif	20.952326354887784	0.0
16	2 color= #666666	20.95232377142733	2 color= #666666	20.95232377142733	0.0
17	helvetica size= 2	20.95232363862947	helvetica size= 2	20.95232363862947	0.0
18	size= 2 color=	20.95232363862947	size= 2 color=	20.95232363862947	0.0
19	color= #666666 ><b>	20.92844919013417	color= #666666 ><b>	20.92844919013417	0.0
20	new york yankees	20.687377433109386	new york yankees	20.687377433109386	0.0
21	george w bush	20.174234208600332	george w bush	20.174234208600332	0.0
22	prime minister ariel	20.024961075813103	prime minister ariel	20.024961075813103	0.0
23	third quarter profit	19.97462342405413	third quarter profit	19.97462342405413	0.0
24	reuters u.s stock	19.180903435277866	reuters u.s stock	19.180903435277866	0.0
25	securities exchange commission	19.157241115078108	securities exchange commission	19.157241115078108	0.0
26	reuters reuters u.s	18.82938085315461	reuters reuters u.s	18.82938085315461	0.0
27	minister ariel sharon	18.708280018151346	minister ariel sharon	18.708280018151346	0.0
28	president george w	17.97218730498101	president george w	17.97218730498101	0.0
29	font face= verdana	17.804493509913968	font face= verdana	17.804493509913968	0.0
30	prime minister tony	17.691766308286457	prime minister tony	17.691766308286457	0.0
