num	lib_trigram	lib_score	my_trigram	my_score	diff
1	'data division' whiny	43.375470669895606	remands tayseer alouni	43.375470669895606	0.0
2	'edited warez' <cite>pc	43.375470669895606	newburg bahar uttam	43.375470669895606	0.0
3	'est toujours refus	43.375470669895606	espresso dunkin donuts	43.375470669895606	0.0
4	'treasure hunt' bandit's	43.375470669895606	trond myklebust netapp.maintainers	43.375470669895606	0.0
5	'try buy' <strong>site	43.375470669895606	phaithful phlock phinish	43.375470669895606	0.0
6	/url ntc=04 sg1	43.375470669895606	2hrs 26min 20sec	43.375470669895606	0.0
7	09.12.04 janne romppainen	43.375470669895606	maleh adumim 31,000	43.375470669895606	0.0
8	2004</title> <script language=	43.375470669895606	jasbir kang yuba	43.375470669895606	0.0
9	29</strong> 'technology centre'	43.375470669895606	ducked ohel moishe	43.375470669895606	0.0
10	2hrs 26min 20sec	43.375470669895606	marceal miji itengo	43.375470669895606	0.0
11	3032 3033 h.r	43.375470669895606	miji itengo angola's	43.375470669895606	0.0
12	400-700 kbps kilobits	43.375470669895606	bainum outspent mufi	43.375470669895606	0.0
13	67-62 tuscon gu	43.375470669895606	outspent mufi hannemann	43.375470669895606	0.0
14	<link rel= stylesheet	43.375470669895606	mufi hannemann honolulu's	43.375470669895606	0.0
15	<strong>episode 27</strong> bastard	43.375470669895606	toussaint kongo doudou	43.375470669895606	0.0
16	abend einem offiziellen	43.375470669895606	namo narayan meena	43.375470669895606	0.0
17	alekman belchertown ma.	43.375470669895606	madame edmey cimeus	43.375470669895606	0.0
18	alk copilot smartphone.	43.375470669895606	verissimo correia seabra	43.375470669895606	0.0
19	anieres cologny carouge	43.375470669895606	tunde sanni ilorin	43.375470669895606	0.0
20	anpac unione piloti	43.375470669895606	'treasure hunt' bandit's	43.375470669895606	0.0
21	aromas raspberry gooseberry	43.375470669895606	realists fantasists. rafat	43.375470669895606	0.0
22	aspwiki snipsnap aswiki	43.375470669895606	ewen macaskill inlondon	43.375470669895606	0.0
23	aunts thermos flasks	43.375470669895606	prakash sharan mahat	43.375470669895606	0.0
24	baba ganoush tabouli	43.375470669895606	hah mihd kahr	43.375470669895606	0.0
25	bainum outspent mufi	43.375470669895606	mihd kahr zeye	43.375470669895606	0.0
26	balsamic vinigga's trollaxor's	43.375470669895606	sahb zahr kow	43.375470669895606	0.0
27	bassiana metarhizium anisopliae	43.375470669895606	eliza manningham buller	43.375470669895606	0.0
28	bayerische motoren werke	43.375470669895606	champa devi shukla	43.375470669895606	0.0
29	beauveria bassiana metarhizium	43.375470669895606	prithviraj chauhan palam	43.375470669895606	0.0
30	betancor javi venta	43.375470669895606	latvias andris piebalgs	43.375470669895606	0.0
